"File Time","Total Events","Opens","Closes","Reads","Writes","Read Bytes","Write Bytes","Get ACL","Set ACL","Other","Path"
"0.0007245","44","9","9","0","0","0","0","2","0","24","<Total>"
"0.0000630","11","2","2","0","0","0","0","2","0","5","C:\Windows\System32\qwinsta.exe"
"0.0001637","8","2","2","0","0","0","0","0","0","4","C:\Windows\System32\imm32.dll"
"0.0003190","7","2","2","0","0","0","0","0","0","3","C:\Windows\System32\regapi.dll"
"0.0000696","5","1","1","0","0","0","0","0","0","3","C:\Windows\System32\en-US\query.exe.mui"
"0.0000319","3","1","1","0","0","0","0","0","0","1","C:\Windows\apppatch\sysmain.sdb"
"0.0000261","2","1","1","0","0","0","0","0","0","0","C:\Users\user"
"0.0000153","2","0","0","0","0","0","0","0","0","2","C:\Windows\System32\KernelBase.dll"
"0.0000146","2","0","0","0","0","0","0","0","0","2","C:\Windows\System32\sechost.dll"
"0.0000034","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\kernel32.dll"
"0.0000054","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\ntdll.dll"
"0.0000052","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\query.exe"
"0.0000073","1","0","0","0","0","0","0","0","0","1","C:\Windows\System32\user32.dll"
